date,year,quarter,month_number,month_name,region,zone,main_city,visitor_type,travel_purpose,accommodation_type,visitors,tourist_nights,spend_sar,rooms_available,rooms_sold,occupancy_rate,average_daily_rate_sar,room_revenue_sar,cancellation_rate,satisfaction_score
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Domestic,Events,Resort,470,1060,473982,4343,305,0.0702,869.79,265284,0.0763,4.36
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Domestic,Events,Other Paid Accommodation,399,856,420718,4848,275,0.0567,293.94,80832,0.0402,4.31
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Inbound,Leisure,Hotel,3034,13220,12357484,8462,3953,0.4671,633.86,2505658,0.0906,4.74
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Inbound,Leisure,Serviced Apartment,1290,5223,4321269,6005,1426,0.2375,424.27,605011,0.0769,4.36
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Inbound,Leisure,Resort,718,3224,2773031,8733,937,0.1073,791.34,741486,0.0432,4.39
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Inbound,Leisure,Other Paid Accommodation,646,2805,2521180,5839,711,0.1218,248.88,176953,0.0588,4.36
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Inbound,Business,Hotel,1575,6222,5494533,7608,1573,0.2068,621.15,977062,0.0715,3.98
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Inbound,Business,Serviced Apartment,637,2746,2555963,6953,660,0.0949,382.01,252129,0.0829,4.28
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Inbound,Business,Resort,351,1744,1576466,6631,521,0.0786,893.87,465708,0.0621,4.46
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Inbound,Business,Other Paid Accommodation,290,1204,1021651,5491,400,0.0728,240.9,96358,0.0872,3.75
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Inbound,Religious,Hotel,232,1303,1143214,4249,335,0.0788,646.96,216731,0.0517,4.32
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Inbound,Religious,Serviced Apartment,97,511,504064,5770,114,0.0198,419.16,47784,0.0535,4.36
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Inbound,Religious,Resort,50,268,241329,5936,65,0.011,826.86,53746,0.0581,4.11
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Inbound,Religious,Other Paid Accommodation,55,301,243171,5995,98,0.0163,306.59,30045,0.032,4.03
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Inbound,Family Visit,Hotel,1918,7784,6984379,8482,1960,0.2311,610.68,1196928,0.01,4.01
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Inbound,Family Visit,Serviced Apartment,682,2694,2585172,4532,711,0.1569,417.32,296714,0.106,3.79
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Inbound,Family Visit,Resort,415,1743,1433669,6047,487,0.0805,808.8,393887,0.0717,4.17
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Inbound,Family Visit,Other Paid Accommodation,351,1520,1454899,4257,499,0.1172,238.97,119247,0.0662,4.3
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Inbound,Events,Hotel,1187,4837,4174747,6182,1258,0.2035,655.31,824374,0.0789,4.1
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Inbound,Events,Serviced Apartment,498,2122,1945081,6332,539,0.0851,394.49,212630,0.0887,4.3
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Inbound,Events,Resort,253,1068,1004988,4765,308,0.0646,835.86,257444,0.0646,4.54
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Inbound,Events,Other Paid Accommodation,247,1077,1015028,5369,314,0.0585,276.17,86717,0.0781,4.12
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Domestic,Leisure,Hotel,9799,21744,9986757,20926,5432,0.2596,554.0,3009316,0.099,4.47
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Domestic,Leisure,Serviced Apartment,4083,9087,4385795,9866,2516,0.255,390.63,982816,0.0944,4.11
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Domestic,Leisure,Resort,1981,4032,1995705,7232,1025,0.1417,866.16,887817,0.0761,4.14
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Domestic,Leisure,Other Paid Accommodation,1871,4015,1770753,6233,1032,0.1656,278.36,287271,0.0778,4.52
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Domestic,Business,Hotel,4889,10110,4877558,10899,2775,0.2546,599.43,1663419,0.0781,4.06
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Domestic,Business,Serviced Apartment,1906,4586,2200583,8092,1340,0.1656,399.74,535656,0.0756,4.15
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Domestic,Business,Resort,1006,1957,946621,6918,609,0.088,914.8,557113,0.1238,4.08
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Domestic,Business,Other Paid Accommodation,979,2091,1142648,5573,531,0.0953,269.62,143168,0.0169,4.02
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Domestic,Religious,Hotel,8058,26833,13226095,18252,8016,0.4392,585.28,4691612,0.0475,4.39
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Domestic,Religious,Serviced Apartment,3069,11251,5818794,8863,2612,0.2947,457.73,1195595,0.0671,4.46
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Domestic,Religious,Resort,1633,5193,2509008,7352,1369,0.1862,891.93,1221057,0.0433,4.23
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Domestic,Religious,Other Paid Accommodation,1732,5893,2967847,6320,1394,0.2206,312.15,435132,0.0783,3.96
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Domestic,Family Visit,Hotel,5786,12284,6352990,13235,4010,0.303,699.77,2806062,0.0638,4.51
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Domestic,Family Visit,Serviced Apartment,2165,5139,2338432,8742,1549,0.1772,354.89,549726,0.0404,3.64
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Domestic,Family Visit,Resort,1098,2463,1296863,6624,777,0.1173,755.8,587254,0.0274,4.26
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Domestic,Family Visit,Other Paid Accommodation,1061,2221,939672,6408,538,0.084,298.37,160524,0.0792,3.92
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Domestic,Events,Hotel,1645,3106,1494556,8277,777,0.0939,638.34,495992,0.0567,4.07
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Domestic,Events,Serviced Apartment,680,1287,600971,4762,417,0.0876,414.17,172706,0.0525,4.2
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Domestic,Events,Resort,371,762,381608,6281,199,0.0317,810.46,161282,0.0631,3.69
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Domestic,Events,Other Paid Accommodation,301,714,378899,5175,206,0.0398,290.25,59791,0.147,4.43
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Inbound,Leisure,Hotel,5293,21219,16757874,12675,5433,0.4286,543.78,2954380,0.0538,4.0
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Inbound,Leisure,Serviced Apartment,2428,10625,9281807,9907,2942,0.297,384.54,1131326,0.1081,4.28
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Inbound,Leisure,Resort,1070,4453,3687451,5127,1327,0.2588,979.38,1299636,0.035,4.41
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Inbound,Leisure,Other Paid Accommodation,1013,4155,3502394,5566,1147,0.2061,264.37,303236,0.0768,4.14
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Inbound,Business,Hotel,2468,9917,8367509,9239,2851,0.3086,565.61,1612564,0.0725,4.46
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Inbound,Business,Serviced Apartment,872,3757,3153069,6801,961,0.1413,353.37,339585,0.0293,4.16
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Inbound,Business,Resort,560,2250,2041847,4129,615,0.1489,767.29,471883,0.0537,4.28
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Inbound,Business,Other Paid Accommodation,468,1929,1787739,5083,570,0.1121,257.61,146835,0.0832,4.51
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Inbound,Religious,Hotel,3785,19835,17936030,10140,5638,0.556,583.95,3292318,0.0722,4.23
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Inbound,Religious,Serviced Apartment,2063,11245,10027210,7500,2955,0.394,398.71,1178182,0.0799,4.04
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Inbound,Religious,Resort,1053,6123,5631211,6160,1867,0.3031,821.86,1534419,0.019,4.02
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Inbound,Religious,Other Paid Accommodation,802,4274,3739604,7808,1210,0.155,278.24,336665,0.0907,3.6
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Inbound,Family Visit,Hotel,2884,12557,10001185,10215,3559,0.3484,593.21,2111249,0.0858,4.84
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Inbound,Family Visit,Serviced Apartment,1149,4882,4149266,5772,1443,0.25,384.71,555143,0.0718,4.03
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Inbound,Family Visit,Resort,641,2734,2538269,5394,733,0.1359,783.08,573994,0.0589,4.36
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Inbound,Family Visit,Other Paid Accommodation,600,2409,2215321,7202,687,0.0954,325.72,223770,0.0507,3.84
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Inbound,Events,Hotel,809,3639,3305358,6086,1026,0.1686,558.35,572869,0.1311,4.3
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Inbound,Events,Serviced Apartment,380,1651,1484619,5760,421,0.0731,428.58,180431,0.1171,4.49
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Inbound,Events,Resort,232,950,780999,5201,262,0.0504,923.97,242080,0.0277,4.65
2022-01-01,2022,Q1,1,Jan,Makkah,Western,Jeddah,Inbound,Events,Other Paid Accommodation,186,765,628007,3607,226,0.0627,284.86,64378,0.0378,3.83
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Domestic,Leisure,Hotel,5277,12843,5310044,10946,3452,0.3154,508.65,1755876,0.01,4.26
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Domestic,Leisure,Serviced Apartment,2129,4767,2224252,9132,1278,0.1399,319.02,407704,0.1343,4.16
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Domestic,Leisure,Resort,1184,2480,1053979,6527,646,0.099,688.5,444771,0.0692,4.13
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Domestic,Leisure,Other Paid Accommodation,1022,2167,896216,7946,452,0.0569,260.96,117952,0.1012,3.63
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Domestic,Business,Hotel,2482,5027,1933035,7726,1242,0.1608,592.89,736374,0.0934,4.59
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Domestic,Business,Serviced Apartment,1079,2022,822513,7012,494,0.0705,369.96,182762,0.064,4.06
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Domestic,Business,Resort,588,1287,528833,6989,319,0.0456,755.48,240997,0.0848,4.19
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Domestic,Business,Other Paid Accommodation,523,967,428657,5553,253,0.0456,260.14,65815,0.0524,3.8
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Domestic,Religious,Hotel,4189,14331,5556604,12668,3195,0.2522,590.57,1886879,0.0753,4.25
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Domestic,Religious,Serviced Apartment,1830,6185,2591834,8686,1718,0.1978,354.21,608530,0.0609,4.14
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Domestic,Religious,Resort,1069,3162,1220613,7252,883,0.1218,709.4,626402,0.0705,4.36
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Domestic,Religious,Other Paid Accommodation,915,2877,1222538,5313,820,0.1543,207.31,169994,0.0957,4.27
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Domestic,Family Visit,Hotel,2929,6726,3107209,10149,1540,0.1517,466.77,718825,0.0544,4.28
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Domestic,Family Visit,Serviced Apartment,1195,2336,992114,5931,606,0.1022,310.61,188231,0.0469,3.81
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Domestic,Family Visit,Resort,577,1333,527968,8446,383,0.0453,730.65,279837,0.0485,4.45
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Domestic,Family Visit,Other Paid Accommodation,547,1162,563005,5676,352,0.062,226.5,79727,0.0691,4.59
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Domestic,Events,Hotel,908,2235,978562,5719,649,0.1135,560.46,363737,0.0855,3.88
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Domestic,Events,Serviced Apartment,360,738,308575,6128,206,0.0336,312.61,64397,0.0795,4.3
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Domestic,Events,Resort,218,504,222271,5766,137,0.0238,624.33,85533,0.0807,4.32
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Domestic,Events,Other Paid Accommodation,195,359,140999,6328,98,0.0155,253.08,24802,0.0707,4.16
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Inbound,Leisure,Hotel,3206,13134,10039407,9063,3469,0.3828,507.14,1759263,0.0756,4.15
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Inbound,Leisure,Serviced Apartment,1312,5275,3964049,6412,1641,0.2559,355.5,583381,0.0958,3.78
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Inbound,Leisure,Resort,664,2906,2219463,7002,761,0.1087,801.18,609696,0.1275,4.18
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Inbound,Leisure,Other Paid Accommodation,575,2582,2148297,5288,682,0.129,234.59,159990,0.0364,3.92
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Inbound,Business,Hotel,1290,5219,3958185,7055,1637,0.232,478.47,783252,0.0946,4.22
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Inbound,Business,Serviced Apartment,559,2423,1717431,6171,676,0.1095,363.79,245921,0.0772,4.76
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Inbound,Business,Resort,290,1187,868391,4853,307,0.0633,788.49,242065,0.1055,4.13
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Inbound,Business,Other Paid Accommodation,262,1125,826670,6002,315,0.0525,210.9,66432,0.1087,4.6
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Inbound,Religious,Hotel,2502,13316,10293740,8866,3881,0.4377,603.62,2342666,0.0656,4.07
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Inbound,Religious,Serviced Apartment,936,4917,3729492,8115,1288,0.1587,356.27,458870,0.0696,4.45
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Inbound,Religious,Resort,690,3652,2694013,7018,1066,0.1519,826.37,880910,0.0846,4.18
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Inbound,Religious,Other Paid Accommodation,551,3097,2469591,6285,934,0.1486,262.45,245128,0.1046,4.31
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Inbound,Family Visit,Hotel,1557,6585,5366885,6381,1871,0.2932,503.64,942305,0.0707,4.59
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Inbound,Family Visit,Serviced Apartment,641,2698,1883178,6651,785,0.118,410.57,322298,0.0623,4.2
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Inbound,Family Visit,Resort,351,1584,1196956,5774,459,0.0795,730.75,335413,0.0588,4.32
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Inbound,Family Visit,Other Paid Accommodation,342,1366,1046442,4782,416,0.087,210.75,87674,0.056,4.24
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Inbound,Events,Hotel,592,2478,1820544,7716,591,0.0766,428.53,253261,0.081,4.14
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Inbound,Events,Serviced Apartment,193,837,645425,4708,203,0.0431,374.43,76009,0.0863,4.13
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Inbound,Events,Resort,131,522,360407,4493,142,0.0316,734.02,104230,0.064,4.36
2022-01-01,2022,Q1,1,Jan,Madinah,Western,Madinah,Inbound,Events,Other Paid Accommodation,94,421,318382,6250,119,0.019,248.77,29603,0.0842,4.26
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Domestic,Leisure,Hotel,4718,11161,4742892,12369,3044,0.2461,579.91,1765242,0.0531,4.72
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Domestic,Leisure,Serviced Apartment,1789,3244,1372952,6844,960,0.1403,331.73,318457,0.0588,3.68
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Domestic,Leisure,Resort,943,1523,578870,7091,448,0.0632,744.51,333538,0.0458,4.26
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Domestic,Leisure,Other Paid Accommodation,897,1675,766958,7143,451,0.0631,240.52,108472,0.0752,3.64
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Domestic,Business,Hotel,2070,4064,1604301,7641,1300,0.1701,546.66,710656,0.0557,4.41
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Domestic,Business,Serviced Apartment,939,2145,904123,5678,627,0.1104,361.02,226358,0.0924,4.31
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Domestic,Business,Resort,499,994,450479,5902,324,0.0549,680.3,220418,0.1134,4.32
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Domestic,Business,Other Paid Accommodation,400,801,329953,5988,230,0.0384,228.98,52666,0.0694,4.69
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Domestic,Religious,Hotel,375,1270,534616,5649,368,0.0651,477.45,175702,0.0636,3.85
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Domestic,Religious,Serviced Apartment,136,466,190045,6765,113,0.0167,309.0,34916,0.0756,4.41
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Domestic,Religious,Resort,81,259,115820,5075,70,0.0138,770.9,53962,0.0863,3.88
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Domestic,Religious,Other Paid Accommodation,73,261,105505,5498,74,0.0135,245.0,18130,0.0562,3.98
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Domestic,Family Visit,Hotel,2371,5535,2400522,7976,1628,0.2041,401.5,653643,0.0987,3.84
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Domestic,Family Visit,Serviced Apartment,922,1729,669769,7462,455,0.061,359.7,163664,0.0688,4.27
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Domestic,Family Visit,Resort,521,960,427301,5241,226,0.0431,695.34,157146,0.1075,4.48
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Domestic,Family Visit,Other Paid Accommodation,461,935,385121,7727,266,0.0344,248.26,66036,0.0958,4.21
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Domestic,Events,Hotel,1551,3196,1336553,7152,937,0.131,522.16,489264,0.0883,4.25
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Domestic,Events,Serviced Apartment,637,1083,479868,6245,324,0.0519,268.9,87125,0.1222,4.12
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Domestic,Events,Resort,376,711,309599,4477,184,0.0411,830.25,152765,0.0652,4.32
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Domestic,Events,Other Paid Accommodation,338,743,314876,5842,248,0.0425,238.89,59245,0.075,4.41
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Inbound,Leisure,Hotel,2686,11918,9404804,7648,3764,0.4922,472.31,1777782,0.0776,4.08
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Inbound,Leisure,Serviced Apartment,982,4188,3244250,6808,1320,0.1939,362.7,478762,0.0639,4.39
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Inbound,Leisure,Resort,589,2329,1833485,6532,623,0.0954,799.24,497926,0.0662,4.3
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Inbound,Leisure,Other Paid Accommodation,486,2042,1449840,4246,642,0.1512,223.74,143640,0.0452,3.61
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Inbound,Business,Hotel,1102,4336,3620021,7565,1117,0.1477,613.7,685504,0.0945,4.19
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Inbound,Business,Serviced Apartment,371,1728,1203786,3878,519,0.1338,418.31,217104,0.1046,4.29
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Inbound,Business,Resort,265,1158,920155,5655,321,0.0568,716.39,229962,0.0512,4.2
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Inbound,Business,Other Paid Accommodation,200,836,597673,4178,233,0.0558,266.73,62147,0.093,3.76
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Inbound,Religious,Hotel,167,933,667280,5011,269,0.0537,479.72,129043,0.0726,3.94
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Inbound,Religious,Serviced Apartment,69,377,259134,5537,103,0.0186,365.47,37643,0.0756,4.49
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Inbound,Religious,Resort,50,265,202877,5613,73,0.013,722.34,52730,0.0525,4.1
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Inbound,Religious,Other Paid Accommodation,50,287,201841,4377,73,0.0167,257.18,18774,0.0626,4.46
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Inbound,Family Visit,Hotel,1236,5260,3797236,8890,1290,0.1451,532.89,687426,0.0858,4.37
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Inbound,Family Visit,Serviced Apartment,514,2145,1634485,5578,641,0.1149,411.89,264024,0.0561,3.81
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Inbound,Family Visit,Resort,283,1334,964952,7038,422,0.06,688.11,290383,0.0842,4.68
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Inbound,Family Visit,Other Paid Accommodation,253,1052,771616,4342,272,0.0626,216.5,58888,0.0709,3.96
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Inbound,Events,Hotel,887,3449,2673278,7085,776,0.1095,535.56,415595,0.1007,3.97
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Inbound,Events,Serviced Apartment,395,1692,1231524,5501,488,0.0887,352.13,171838,0.0835,3.92
2022-01-01,2022,Q1,1,Jan,Eastern Province,Eastern,Dammam,Inbound,Events,Resort,192,752,567705,4367,192,0.044,791.2,151910,0.0973,4.42
